10:08:43 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=True, log_dir=ultra_results, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:08:44 [ultranest] [INFO] Sampling 400 live points from prior ...
10:09:09 [ultranest] [DEBUG] run_iter dlogz=0.3, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:09:09 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:18:03 [ultranest] [DEBUG] iteration=132, ncalls=555, regioncalls=6200, ndraw=40, logz=-26.77, remainder_fraction=99.3574%, Lmin=-24.70, Lmax=-16.30
10:18:04 [ultranest] [DEBUG] iteration=133, ncalls=558, regioncalls=6320, ndraw=40, logz=-26.75, remainder_fraction=99.3468%, Lmin=-24.67, Lmax=-16.30
10:18:04 [ultranest] [DEBUG] iteration=135, ncalls=560, regioncalls=6400, ndraw=40, logz=-26.72, remainder_fraction=99.3275%, Lmin=-24.66, Lmax=-16.30
10:18:04 [ultranest] [DEBUG] iteration=137, ncalls=562, regioncalls=6480, ndraw=40, logz=-26.70, remainder_fraction=99.3078%, Lmin=-24.64, Lmax=-16.30
10:18:04 [ultranest] [DEBUG] iteration=138, ncalls=563, regioncalls=6520, ndraw=40, logz=-26.68, remainder_fraction=99.2967%, Lmin=-24.64, Lmax=-16.30
10:18:04 [ultranest] [DEBUG] iteration=140, ncalls=565, regioncalls=6600, ndraw=40, logz=-26.66, remainder_fraction=99.2800%, Lmin=-24.62, Lmax=-16.30
10:18:04 [ultranest] [DEBUG] iteration=141, ncalls=566, regioncalls=6640, ndraw=40, logz=-26.64, remainder_fraction=99.2686%, Lmin=-24.62, Lmax=-16.30
10:18:05 [ultranest] [DEBUG] iteration=143, ncalls=568, regioncalls=6720, ndraw=40, logz=-26.62, remainder_fraction=99.2476%, Lmin=-24.60, Lmax=-16.30
10:18:05 [ultranest] [DEBUG] iteration=144, ncalls=569, regioncalls=6760, ndraw=40, logz=-26.60, remainder_fraction=99.2403%, Lmin=-24.58, Lmax=-16.30
10:18:05 [ultranest] [DEBUG] iteration=146, ncalls=572, regioncalls=6880, ndraw=40, logz=-26.58, remainder_fraction=99.2171%, Lmin=-24.55, Lmax=-16.30
10:18:05 [ultranest] [DEBUG] iteration=147, ncalls=574, regioncalls=6960, ndraw=40, logz=-26.56, remainder_fraction=99.2050%, Lmin=-24.54, Lmax=-16.30
10:18:05 [ultranest] [DEBUG] iteration=149, ncalls=576, regioncalls=7040, ndraw=40, logz=-26.54, remainder_fraction=99.1921%, Lmin=-24.52, Lmax=-16.30
10:18:06 [ultranest] [DEBUG] iteration=151, ncalls=579, regioncalls=7160, ndraw=40, logz=-26.51, remainder_fraction=99.1679%, Lmin=-24.51, Lmax=-16.30
10:18:06 [ultranest] [DEBUG] iteration=153, ncalls=581, regioncalls=7240, ndraw=40, logz=-26.49, remainder_fraction=99.1456%, Lmin=-24.51, Lmax=-16.30
10:18:06 [ultranest] [DEBUG] iteration=154, ncalls=582, regioncalls=7280, ndraw=40, logz=-26.48, remainder_fraction=99.1339%, Lmin=-24.50, Lmax=-16.30
10:18:06 [ultranest] [DEBUG] iteration=156, ncalls=585, regioncalls=7400, ndraw=40, logz=-26.45, remainder_fraction=99.1106%, Lmin=-24.49, Lmax=-16.30
10:18:06 [ultranest] [DEBUG] iteration=158, ncalls=587, regioncalls=7480, ndraw=40, logz=-26.43, remainder_fraction=99.0849%, Lmin=-24.48, Lmax=-16.30
10:18:07 [ultranest] [DEBUG] iteration=159, ncalls=588, regioncalls=7520, ndraw=40, logz=-26.42, remainder_fraction=99.0730%, Lmin=-24.47, Lmax=-16.30
10:18:07 [ultranest] [DEBUG] iteration=160, ncalls=589, regioncalls=7560, ndraw=40, logz=-26.40, remainder_fraction=99.0601%, Lmin=-24.47, Lmax=-16.30
10:18:07 [ultranest] [DEBUG] iteration=162, ncalls=592, regioncalls=7680, ndraw=40, logz=-26.38, remainder_fraction=99.0375%, Lmin=-24.44, Lmax=-16.30
10:18:07 [ultranest] [DEBUG] iteration=163, ncalls=594, regioncalls=7760, ndraw=40, logz=-26.37, remainder_fraction=99.0277%, Lmin=-24.43, Lmax=-16.30
10:18:07 [ultranest] [DEBUG] iteration=165, ncalls=596, regioncalls=7840, ndraw=40, logz=-26.35, remainder_fraction=99.0032%, Lmin=-24.39, Lmax=-16.30
10:18:08 [ultranest] [DEBUG] iteration=167, ncalls=598, regioncalls=7920, ndraw=40, logz=-26.32, remainder_fraction=98.9764%, Lmin=-24.36, Lmax=-16.30
10:18:08 [ultranest] [DEBUG] iteration=169, ncalls=601, regioncalls=8040, ndraw=40, logz=-26.30, remainder_fraction=98.9487%, Lmin=-24.35, Lmax=-16.30
10:18:08 [ultranest] [DEBUG] iteration=171, ncalls=605, regioncalls=8200, ndraw=40, logz=-26.28, remainder_fraction=98.9202%, Lmin=-24.32, Lmax=-16.30
10:18:08 [ultranest] [DEBUG] iteration=173, ncalls=607, regioncalls=8280, ndraw=40, logz=-26.25, remainder_fraction=98.8904%, Lmin=-24.31, Lmax=-16.30
10:18:08 [ultranest] [DEBUG] iteration=175, ncalls=609, regioncalls=8360, ndraw=40, logz=-26.23, remainder_fraction=98.8600%, Lmin=-24.29, Lmax=-16.30
10:18:09 [ultranest] [DEBUG] iteration=176, ncalls=612, regioncalls=8480, ndraw=40, logz=-26.22, remainder_fraction=98.8467%, Lmin=-24.28, Lmax=-16.30
10:31:56 [ultranest] [DEBUG] iteration=177, ncalls=617, regioncalls=8680, ndraw=40, logz=-26.21, remainder_fraction=98.8311%, Lmin=-24.28, Lmax=-16.30
10:31:56 [ultranest] [DEBUG] iteration=179, ncalls=619, regioncalls=8760, ndraw=40, logz=-26.19, remainder_fraction=98.7999%, Lmin=-24.28, Lmax=-16.30
10:31:56 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
10:31:56 [ultranest] [DEBUG] iteration=181, ncalls=621, regioncalls=8840, ndraw=40, logz=-26.17, remainder_fraction=98.7686%, Lmin=-24.27, Lmax=-16.30
10:31:56 [ultranest] [DEBUG] iteration=183, ncalls=623, regioncalls=8920, ndraw=40, logz=-26.15, remainder_fraction=98.7369%, Lmin=-24.26, Lmax=-16.30
